"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C7","Ensure that the 'back_idle' position of the character displays the correct images","Cinipa Alexandru","4/15/2024 11:16 AM","120s","400s","Low","","Character assets","1","","Master","S1","Other","Cinipa Alexandru","4/20/2024 9:32 PM"
"C8","Ensure that the 'front_idle' position of the character displays the correct images","Cinipa Alexandru","4/15/2024 11:16 AM","120s","350s","Low","","Character assets","1","","Master","S1","Other","Cinipa Alexandru","4/20/2024 9:33 PM"
"C9","Ensure that the 'left_idle' position of the character displays the correct images","Cinipa Alexandru","4/15/2024 11:16 AM","120s","420s","Low","","Character assets","1","","Master","S1","Other","Cinipa Alexandru","4/20/2024 9:34 PM"
"C10","Ensure that the 'right_idle' position of the character displays the correct images","Cinipa Alexandru","4/15/2024 11:16 AM","120s","436s","Low","","Character assets","1","","Master","S1","Destructive","Cinipa Alexandru","4/20/2024 9:35 PM"
"C11","Ensure that the 'back_run' position of the character displays the correct images","Cinipa Alexandru","4/15/2024 11:16 AM","120s","465s","Low","","Character assets","1","","Master","S1","Other","Cinipa Alexandru","4/20/2024 9:35 PM"
"C12","Ensure that the 'front_run' position of the character displays the correct images","Cinipa Alexandru","4/15/2024 11:16 AM","120s","463s","Low","","Character assets","1","","Master","S1","Acceptance","Cinipa Alexandru","4/20/2024 9:36 PM"
"C13","Ensure that the 'left_run' position of the character displays the correct images","Cinipa Alexandru","4/15/2024 11:16 AM","120s","330s","Low","","Character assets","1","","Master","S1","Other","Cinipa Alexandru","4/20/2024 9:37 PM"
"C2319","Ensure that the 'right_run' position of the character displays the correct images","Cinipa Alexandru","4/20/2024 7:31 PM","120s","120s","Low","","Character assets","1","","Master","S1","Other","Cinipa Alexandru","4/20/2024 9:37 PM"
"C18","Ensure that the environmental assets accurately display the corresponding images in accordance with the game's sprites","Cinipa Alexandru","4/15/2024 11:16 AM","900s","643s","Low","","Enviroment assets","1","","Master","S1","Usability","Cinipa Alexandru","4/20/2024 9:25 PM"
"C2328","Verify that the time position is accurately displayed.","Cinipa Alexandru","4/20/2024 8:03 PM","120s","240s","Low","","UI","2","","Master","S1","Usability","Cinipa Alexandru","4/20/2024 9:27 PM"
"C2329","Ensure that the elapsed game time is displayed correctly.","Cinipa Alexandru","4/20/2024 8:04 PM","120s","240s","Low","","UI","2","","Master","S1","Other","Cinipa Alexandru","4/20/2024 9:29 PM"
"C2330","Verify that the game's time functionality operates flawlessly throughout the entire gameplay.","Cinipa Alexandru","4/20/2024 8:05 PM","300s","300s","Medium","","Functionality","2","","Master","S1","Functional","Cinipa Alexandru","4/20/2024 9:39 PM"
"C2331","Verify that upon completing the treasure hunt, the displayed tracked time is accurate.","Cinipa Alexandru","4/20/2024 8:07 PM","300s","300s","Medium","","Functionality","2","","Master","S1","Functional","Cinipa Alexandru","4/20/2024 9:40 PM"
"C2332","Ensure that the keys are displayed accurately throughout the entire gameplay","Cinipa Alexandru","4/20/2024 8:09 PM","120s","240s","Low","","UI","2","","Master","S1","Usability","Cinipa Alexandru","4/20/2024 9:42 PM"
"C2333","Verify that the correct number of keys is displayed after their usage","Cinipa Alexandru","4/20/2024 8:10 PM","300s","240s","Low","","UI","2","","Master","S1","Usability","Cinipa Alexandru","4/20/2024 9:42 PM"
"C2334","Ensure that the inventory slot updates correctly after picking up a key","Cinipa Alexandru","4/20/2024 8:11 PM","300s","240s","Medium","","Functionality","2","","Master","S1","Functional","Cinipa Alexandru","4/20/2024 9:42 PM"
"C2335","Verify that using the key on a door results in the correct deduction from the total count","Cinipa Alexandru","4/20/2024 8:12 PM","300s","240s","Medium","","Functionality","2","","Master","S1","Functional","Cinipa Alexandru","4/20/2024 9:43 PM"
"C2336","Verify that discoverable items throughout the game display the correct images","Cinipa Alexandru","4/20/2024 8:17 PM","900s","400s","Low","","UI","2","","Master","S1","Other","Cinipa Alexandru","4/20/2024 9:45 PM"
"C2339","Verify that the correct message is displayed upon collecting the discoverable items","Cinipa Alexandru","4/20/2024 8:30 PM","900s","400s","Low","","UI","2","","Master","S1","Other","Cinipa Alexandru","4/20/2024 10:05 PM"
"C2337","Ensure that the effects specified for each found item are correct","Cinipa Alexandru","4/20/2024 8:18 PM","600s","400s","Medium","","Functionality","2","","Master","S1","Functional","Cinipa Alexandru","4/20/2024 10:02 PM"
"C2338","Verify that the background game sound plays consistently throughout the gameplay","Cinipa Alexandru","4/20/2024 8:27 PM","120s","120s","Low","","Audio","1","","Master","S1","Other","Cinipa Alexandru","4/20/2024 10:00 PM"
"C2340","Ensure that the player's collision detection functions correctly for every element in the game world","Cinipa Alexandru","4/20/2024 8:35 PM","1200s","600s","High","","Collision","1","","Master","S1","Functional","Cinipa Alexandru","4/20/2024 10:08 PM"
"C2341","Verify that all in-game elements, such as open world items and environmental features, accurately display their specified animations","Cinipa Alexandru","4/20/2024 8:35 PM","1200s","1200s","High","","Animation","1","","Master","S1","Other","Cinipa Alexandru","4/20/2024 11:30 PM"
"C76","Verify that after completing the treasure hunt, the appropriate messages and statistics are displayed for the player","Cinipa Alexandru","4/15/2024 11:16 AM","1200s","645s","Medium","","End-Game","0","","Master","S1","Performance","Cinipa Alexandru","4/20/2024 11:37 PM"
"C2342","Ensure that the game maintains a consistent performance of 60 frames per second (fps)","Cinipa Alexandru","4/20/2024 8:36 PM","1200s","1200s","High","","Performance","0","","Master","S1","Functional","Cinipa Alexandru","4/20/2024 9:49 PM"
